title,author,price
Burn Book,Kara Swisher,$17.99
The Idea Factory,Jon Gertner,$25.79
The Book,Keith Houston,$17.19
Lean UX: Designing Great Products with Agile Teams (Second Edition),"Jeff Gothelf, Josh Seiden",$21.49
Write Books Using AI,George Sranko,$9.99
User Story Mapping,"Jeff Patton, Peter Economy - foreword",$21.49
Broke to Billionaire,Brandon Chan,$9.99
40-Day Social Media Fast,Wendy Speake,$17.19
The Singularity Is Nearer,Ray Kurzweil,$20.25
How to Do Nothing,Jenny Odell,$17.19
"Computer Programming: 3 Books in 1: Computer Programming, Hacking, and Computer Networking Fundamentals for Absolute Beginners",Alexander Bell,$13.95
Hackers & Painters,Paul Graham,$17.19
Deep Medicine,Eric Topol,$21.49
Managing Humans,Michael Lopp,$17.19
The Distracted Mind,"Larry D. Rosen, Adam Gazzaley",$21.49
The Infrastructure Book,Sybil Derrible,$17.19
LikeWar,"P. W. Singer, Emerson T. Brooking",$21.49
Nexus,Yuval Noah Harari,$24.75
The ChatGPT AI for Business Development plus Customer Service Book 2025,Carter A. Sinclair,$12.99
Paper,Mark Kurlansky,$21.49
ChatGPT Anthology: 5 Books in 1,Ryan Lee,$24.95
The Clean Coder,Robert C. Martin,$21.49
The Ethical Hacking Book for Beginners,Ramon Nastase,$3.99
Data and Goliath,Bruce Schneier,$17.19
The Poisoner's Handbook,Deborah Blum,$15.47
Clean Agile,Robert C. Martin,$21.49
Claude AI Artifacts: Zero to Hero,Rui Quintino,$3.99
Average is Over,Tyler Cowen,$17.19
Information Architecture,"Louis Rosenfeld, Peter Morville, Jorge Arango",$21.49
Algorithms & Data Structures - When you don't know sh#t,Lyron Foster,$3.99
CompTIA Security+ & A+,Shawn Walker,$9.99
AI for Business,Russel Grant,$19.95
Facebook Marketplace Flipping,Meadowlark,$11.99
Red Moon Rising,Matthew Brzezinski,$22.25
"CIA MIND SCIENCE, CODES & CIPHERS",Eric Engle,$14.99
The Social Media Marketing Blueprint,Mark Hrvatin,$5.99
The Art of Social Media,"Guy Kawasaki, Peg Fitzpatrick",$17.19
Hacker's Cookbook,Jean-Jacques Reibel,$9.99
CompTIA Network+,Walker Schmidt,$5.99
"CompTIA A+, NETWORK+ & SECURITY+ EXAM PREP (3-BOOKS-IN-1)",SmartStudy Solutions,$14.99
Out of Touch,Michelle Drouin,$17.19
Red Moon Rising,Matthew Brzezinski,$22.25
The Infrastructure Book,Sybil Derrible,$17.19
CompTIA Security+ & A+,Shawn Walker,$9.99
ChatGPT Mastery: 12 Books in 1,Albert Irvin,$19.95
Excel VBA 365 Handbook,Dr.Liew Voon Kiong,$7.99
AI and the Ongoing Collapse: How Artificial Intelligence is Reshaping Your Future,Obadiah Switzer,$9.97
The Electrifying Fall of Rainbow City,Margaret Creighton,$25.79
Technically Wrong,Sara Wachter-Boettcher,$21.49
The Art of Social Media,"Guy Kawasaki, Peg Fitzpatrick",$17.19
CHATGPT BOOK FOR BEGINNERS,Arsath Natheem S,$3.99
A Human Algorithm,Flynn Coleman,$17.19
Breaking the Social Media Prism,Christopher A. Bail,$13.75
Big Mind,Geoff Mulgan,$25.79
Leonardo to the Internet (Third Edition),Thomas J. Misa,$25.79
